narration,amount,date,true_category
taxi - toll,31.06,2026-02-18,Transportation
electric company - cable,245.34,2026-02-14,Utilities
payment to publix for bread milk eggs,122.02,2026-02-28,Groceries
ride to at taxi,92.52,2026-02-03,Transportation
trader joes weekly shopping ref#3071,96.97,2026-02-14,Groceries
kroger bakery,193.22,2026-02-16,Groceries
movie tickets at playstation ref#2263,68.38,2026-02-02,Entertainment
bp purchase ride to,61.52,2026-02-18,Transportation
walgreens purchase checkup ref#7003,168.77,2026-02-22,Healthcare
costco purchase weekly shopping,117.19,2026-02-22,Groceries
doordash - dinner,43.24,2026-02-03,Restaurants
costco purchase bread milk eggs ref#5056,127.95,2026-02-10,Groceries
whole foods grocery,250.0,2026-02-21,Groceries
cvs pharmacy - checkup,165.75,2026-02-02,Healthcare
hospital - copay,411.57,2026-02-23,Healthcare
subway delivery ref#4309,24.31,2026-03-01,Restaurants
payment to albertsons for deli,250.0,2026-02-01,Groceries
payment to concert venue for movie tickets,49.41,2026-02-05,Entertainment
produce at kroger ref#5569,128.07,2026-02-28,Groceries
payment to doordash for breakfast ref#3473,59.48,2026-02-10,Restaurants
coffee at starbucks,18.94,2026-02-03,Restaurants
payment to chipotle for takeout,22.84,2026-02-08,Restaurants
concert venue movie tickets,61.54,2026-02-02,Entertainment
bp purchase transit pass,29.83,2026-02-07,Transportation
gas at chevron ref#1389,59.69,2026-02-17,Transportation
payment to dental office for x-ray,327.73,2026-02-19,Healthcare
meat department at walmart,86.36,2026-02-01,Groceries
concert venue monthly subscription,61.7,2026-02-14,Entertainment
safeway purchase grocery,107.96,2026-02-01,Groceries
metro purchase ride to,99.67,2026-02-25,Transportation
payment to parking garage for ride to ref#7728,62.18,2026-02-22,Transportation
payment to verizon for phone service,211.92,2026-02-09,Utilities
costco bread milk eggs,157.16,2026-02-16,Groceries
payment to amc theaters for monthly subscription,89.83,2026-02-18,Entertainment
costco - bread milk eggs,58.79,2026-02-03,Groceries
disney plus purchase streaming service ref#5073,139.33,2026-02-23,Entertainment
prescription pickup at rite aid,316.39,2026-02-19,Healthcare
payment to pizza hut for breakfast,44.6,2026-02-23,Restaurants
urgent care consultation fee,175.98,2026-02-10,Healthcare
toll at shell,73.83,2026-02-10,Transportation
payment to comcast for monthly service,64.17,2026-02-25,Utilities
ubereats purchase delivery ref#2959,55.34,2026-02-13,Restaurants
payment to netflix for monthly subscription,56.15,2026-02-22,Entertainment
payment to acme corp 1592,83.51,2026-02-22,Unknown
nordstrom home goods,145.12,2026-02-18,Shopping
mobile deposit 7175,444.85,2026-02-20,Unknown
payment to spotify for concert tickets ref#4065,100.76,2026-02-22,Entertainment
parking fee at bp,94.74,2026-02-13,Transportation
weekly shopping at kroger ref#4298,76.16,2026-03-02,Groceries
cash deposit 1006,467.04,2026-02-28,Unknown
albertsons weekly shopping,50.15,2026-02-25,Groceries
payment to dr smith clinic for consultation fee ref#1503,459.54,2026-03-01,Healthcare
wire transfer 9681,50.68,2026-02-28,Unknown
payment to chipotle for takeout,49.75,2026-02-05,Restaurants
hospital purchase checkup,154.87,2026-02-07,Healthcare
check deposit # 1959,260.29,2026-02-20,Unknown
cvs pharmacy checkup,500.0,2026-02-15,Healthcare
grocery at walmart,197.43,2026-02-09,Groceries
home depot - home goods,400.0,2026-02-07,Shopping
payment to verizon for phone service,107.27,2026-02-12,Utilities
trader joes purchase weekly shopping,250.0,2026-02-05,Groceries
walgreens medicine,500.0,2026-02-28,Healthcare
doordash coffee,61.05,2026-02-11,Restaurants
buybuybaby crib ref#8986,78.98,2026-02-06,Baby Items
metro purchase toll,29.01,2026-02-08,Transportation
payment to costco for produce,137.84,2026-02-24,Groceries
publix - produce,250.0,2026-02-20,Groceries
streaming service at spotify,150.0,2026-02-06,Entertainment
bp - toll ref#3640,38.3,2026-02-13,Transportation
coffee at chipotle ref#5071,42.07,2026-03-02,Restaurants
bp ride to,53.69,2026-03-01,Transportation
disney plus - game purchase ref#8408,81.01,2026-02-03,Entertainment
lyft purchase gas,42.34,2026-02-24,Transportation
hulu streaming service,90.41,2026-02-22,Entertainment
breakfast at mcdonalds,48.53,2026-02-09,Restaurants
payment to bp for ride to,96.55,2026-02-15,Transportation
amc theaters movie tickets ref#2576,150.0,2026-02-13,Entertainment
chevron purchase gas ref#2038,40.46,2026-02-27,Transportation
best buy home goods,193.08,2026-03-02,Shopping
breakfast at pizza hut,73.52,2026-02-03,Restaurants
macys home goods,400.0,2026-02-25,Shopping
payment to metro for parking fee ref#5985,61.75,2026-02-04,Transportation
parking garage toll ref#6126,92.84,2026-02-20,Transportation
payment to nike for home goods ref#4157,246.44,2026-02-12,Shopping
payment to acme corp 1237,38.63,2026-02-22,Unknown
dinner at pizza hut,43.65,2026-02-21,Restaurants
whole foods deli,211.2,2026-02-09,Groceries
payment to buybuybaby for bottles,130.52,2026-02-08,Baby Items
rite aid purchase checkup,291.42,2026-02-12,Healthcare
electric company purchase phone service,300.0,2026-02-19,Utilities
taxi - gas ref#8438,100.0,2026-02-17,Transportation
dinner at starbucks,34.71,2026-02-16,Restaurants
monthly subscription at netflix,124.93,2026-02-21,Entertainment
medicine at walgreens ref#4611,500.0,2026-02-13,Healthcare
concert venue purchase movie tickets,69.28,2026-02-07,Entertainment
ubereats purchase breakfast,80.0,2026-02-01,Restaurants
cvs pharmacy purchase consultation fee ref#9189,436.82,2026-02-07,Healthcare
monthly subscription at spotify,69.5,2026-02-15,Entertainment
bakery at trader joes,130.5,2026-02-22,Groceries
dinner at olive garden,24.75,2026-02-23,Restaurants
whole foods purchase produce,110.5,2026-02-16,Groceries
doordash - dinner,35.87,2026-02-08,Restaurants
electric company internet,233.98,2026-02-15,Utilities
playstation - streaming service,20.55,2026-02-17,Entertainment
spotify - concert tickets,150.0,2026-02-27,Entertainment
shell purchase fuel,76.09,2026-02-26,Transportation
walmart weekly shopping,170.07,2026-02-27,Groceries
cash deposit 7763,217.86,2026-02-28,Unknown
olive garden - takeout,26.62,2026-02-16,Restaurants
payment to cvs pharmacy for x-ray,244.53,2026-02-18,Healthcare
delivery at mcdonalds,32.59,2026-02-09,Restaurants
urgent care - prescription pickup,222.55,2026-02-26,Healthcare
online order at best buy,358.31,2026-02-17,Shopping
whole foods grocery,250.0,2026-02-12,Groceries
payment to pizza hut for takeout ref#7112,57.5,2026-02-28,Restaurants
bread milk eggs at kroger,119.95,2026-02-09,Groceries
home depot clothing,326.48,2026-02-23,Shopping
kroger purchase grocery,250.0,2026-02-21,Groceries
payment to doordash for coffee,35.31,2026-02-18,Restaurants
taxi purchase fuel,84.71,2026-02-20,Transportation
water company - bill payment ref#6650,235.84,2026-02-19,Utilities
payment to spotify for movie tickets,101.55,2026-03-01,Entertainment
payment to doordash for delivery ref#1507,38.01,2026-02-09,Restaurants
payment to dental office for medicine ref#3638,163.69,2026-02-27,Healthcare
albertsons deli,154.23,2026-02-25,Groceries
playstation game purchase ref#9880,56.72,2026-02-16,Entertainment
metro - toll,45.28,2026-02-19,Transportation
rite aid x-ray ref#6767,284.75,2026-02-22,Healthcare
mcdonalds purchase breakfast,28.91,2026-02-28,Restaurants
dental office - checkup,448.69,2026-02-25,Healthcare
payment to nordstrom for electronics,400.0,2026-02-03,Shopping
payment to safeway for deli ref#3895,109.01,2026-02-15,Groceries
kroger purchase bread milk eggs,250.0,2026-02-16,Groceries
payment to dr smith clinic for checkup,216.48,2026-02-15,Healthcare
albertsons bakery,85.59,2026-02-11,Groceries
amc theaters purchase game purchase,56.91,2026-02-28,Entertainment
safeway - produce,160.07,2026-02-02,Groceries
payment to chipotle for lunch,80.0,2026-02-06,Restaurants
check deposit # 8395,173.11,2026-02-08,Unknown
amc theaters purchase game purchase,78.66,2026-02-24,Entertainment
onesie at babies r us,31.54,2026-02-02,Baby Items
netflix purchase concert tickets,51.09,2026-02-02,Entertainment
electronics at ikea ref#7998,123.8,2026-02-12,Shopping
target purchase onesie,40.53,2026-02-16,Baby Items
subway takeout ref#7874,48.61,2026-02-18,Restaurants
subway - takeout,24.94,2026-02-06,Restaurants
concert venue purchase monthly subscription,67.08,2026-03-02,Entertainment
deli at publix,90.12,2026-02-07,Groceries
verizon purchase phone service ref#9141,110.13,2026-02-03,Utilities
publix - bread milk eggs,104.03,2026-02-11,Groceries
pg&e internet,177.27,2026-02-05,Utilities
olive garden - dinner,44.99,2026-02-09,Restaurants
takeout at chipotle,69.53,2026-02-14,Restaurants
att - bill payment,70.58,2026-02-20,Utilities
payment to dr smith clinic for x-ray,461.92,2026-02-06,Healthcare
water company cable,111.88,2026-02-27,Utilities
olive garden - takeout,9.05,2026-02-07,Restaurants
starbucks purchase takeout,64.13,2026-02-20,Restaurants
nordstrom - electronics,213.02,2026-02-02,Shopping
spotify purchase concert tickets,66.91,2026-02-01,Entertainment
bill payment at water company,132.47,2026-02-16,Utilities
metro transit pass,31.75,2026-02-07,Transportation
safeway purchase meat department ref#1494,161.63,2026-02-07,Groceries
payment to disney plus for concert tickets,88.34,2026-02-25,Entertainment
olive garden purchase delivery,80.0,2026-02-17,Restaurants
bill payment at verizon ref#8642,182.67,2026-02-17,Utilities
dinner at mcdonalds ref#9872,37.87,2026-02-26,Restaurants
shell purchase toll,50.44,2026-02-21,Transportation
nordstrom purchase home goods,354.29,2026-02-19,Shopping
payment to buybuybaby for wipes,150.0,2026-02-11,Baby Items
coffee at doordash,46.27,2026-02-22,Restaurants
pizza hut - breakfast,29.06,2026-02-02,Restaurants
walmart - deli,106.21,2026-02-04,Groceries
payment to pizza hut for breakfast,29.22,2026-02-24,Restaurants
payment to costco for produce,83.34,2026-02-09,Groceries
copay at urgent care,147.4,2026-02-18,Healthcare
payment to spotify for game purchase ref#2004,64.59,2026-02-02,Entertainment
concert tickets at playstation,139.27,2026-02-17,Entertainment
payment to mcdonalds for lunch,49.94,2026-02-26,Restaurants
payment to babies r us for pacifier,50.98,2026-02-01,Baby Items
wire transfer 4392,153.73,2026-02-12,Unknown
walgreens purchase copay,208.81,2026-02-21,Healthcare
copay at dr smith clinic,135.78,2026-02-03,Healthcare
uber purchase gas ref#2530,64.56,2026-02-17,Transportation
bread milk eggs at safeway,176.7,2026-02-12,Groceries
steam monthly subscription,128.91,2026-02-18,Entertainment
starbucks delivery,62.4,2026-02-04,Restaurants
parking fee at chevron,28.7,2026-02-13,Transportation
babies r us purchase pampers diapers ref#8043,150.0,2026-02-21,Baby Items
lyft - gas,49.5,2026-02-23,Transportation
albertsons purchase deli ref#3384,175.44,2026-02-02,Groceries
metro - parking fee,99.32,2026-02-07,Transportation
payment to trader joes for bread milk eggs ref#8955,83.21,2026-02-06,Groceries
mcdonalds purchase delivery,80.0,2026-03-02,Restaurants
coffee at mcdonalds,80.0,2026-03-02,Restaurants
pizza hut purchase delivery ref#4976,77.36,2026-02-13,Restaurants
shoes at nike,400.0,2026-02-25,Shopping
cable at verizon ref#1609,91.5,2026-02-01,Utilities
lunch at starbucks,80.0,2026-02-28,Restaurants
att purchase cable,140.22,2026-02-04,Utilities
uber purchase gas,39.14,2026-02-28,Transportation
online order at nike ref#9144,250.78,2026-02-05,Shopping
albertsons produce,120.1,2026-02-25,Groceries
verizon bill payment ref#4411,255.18,2026-02-11,Utilities
kroger purchase deli ref#8908,250.0,2026-02-22,Groceries
payment to whole foods for deli,129.15,2026-02-07,Groceries
lab work at urgent care,329.93,2026-02-26,Healthcare
doordash - coffee,61.8,2026-02-14,Restaurants
olive garden purchase dinner,80.0,2026-02-02,Restaurants
payment to netflix for movie tickets ref#8031,93.87,2026-02-21,Entertainment
walmart onesie,85.03,2026-02-06,Baby Items
walmart - bakery ref#7004,128.37,2026-02-23,Groceries
payment to amc theaters for concert tickets,71.5,2026-02-18,Entertainment
payment to playstation for concert tickets,55.2,2026-02-11,Entertainment
bread milk eggs at kroger,114.73,2026-02-20,Groceries
shoes at nike,116.5,2026-02-15,Shopping
concert venue - streaming service,31.78,2026-02-06,Entertainment
pizza hut takeout ref#7014,47.27,2026-02-05,Restaurants
costco - bakery,116.48,2026-02-18,Groceries
playstation purchase game purchase,98.96,2026-02-02,Entertainment
target online order ref#1771,170.59,2026-02-22,Shopping
takeout at subway ref#8265,17.1,2026-02-17,Restaurants
safeway purchase meat department ref#5863,215.14,2026-02-06,Groceries
payment to walmart for weekly shopping ref#5107,50.0,2026-02-20,Groceries
parking fee at taxi,94.28,2026-02-23,Transportation
ikea - electronics,171.45,2026-02-12,Shopping
takeout at ubereats,60.18,2026-02-26,Restaurants
whole foods meat department,142.41,2026-02-20,Groceries
shell transit pass,31.83,2026-02-14,Transportation
pacifier at babies r us,150.0,2026-02-28,Baby Items
atm withdrawal 3294,416.63,2026-02-08,Unknown
fuel at bp,54.74,2026-02-09,Transportation
coffee at pizza hut,74.65,2026-02-27,Restaurants
amc theaters - streaming service ref#1451,38.1,2026-02-27,Entertainment
payment to acme corp 6889,30.67,2026-02-13,Unknown
albertsons weekly shopping ref#6003,168.29,2026-03-02,Groceries
streaming service at playstation,75.79,2026-02-12,Entertainment
payment to macys for clothing,400.0,2026-02-21,Shopping
payment to hulu for streaming service,150.0,2026-02-22,Entertainment
payment to costco for meat department ref#9518,198.69,2026-02-11,Groceries
concert tickets at disney plus,65.35,2026-02-01,Entertainment
transit pass at taxi,72.78,2026-02-18,Transportation
urgent care prescription pickup,293.84,2026-02-21,Healthcare
coffee at starbucks,29.79,2026-02-04,Restaurants
target purchase pampers diapers,99.02,2026-03-01,Baby Items
cable at verizon,92.5,2026-03-01,Utilities
payment to concert venue for monthly subscription ref#5854,31.82,2026-02-11,Entertainment
rite aid - x-ray,192.56,2026-02-02,Healthcare
netflix purchase concert tickets ref#1246,119.91,2026-02-27,Entertainment
payment to olive garden for breakfast ref#7131,52.56,2026-02-23,Restaurants
payment to buybuybaby for bottles,90.24,2026-02-10,Baby Items
walmart baby food,33.77,2026-02-10,Baby Items
clothing at best buy,258.66,2026-02-02,Shopping
ikea online order,119.85,2026-02-19,Shopping
starbucks - coffee ref#5213,43.31,2026-02-07,Restaurants
payment to acme corp 6393,444.32,2026-02-24,Unknown
ubereats purchase takeout,73.98,2026-02-15,Restaurants
coffee at olive garden,67.0,2026-02-25,Restaurants
chipotle - dinner,80.0,2026-02-06,Restaurants
whole foods - bakery,114.12,2026-02-01,Groceries
monthly subscription at spotify ref#7033,56.56,2026-02-17,Entertainment
uber - ride to,64.7,2026-02-25,Transportation
payment to home depot for home goods,102.55,2026-02-01,Shopping
chipotle - lunch,22.52,2026-02-01,Restaurants
doordash - lunch,44.89,2026-02-19,Restaurants
whole foods - grocery,180.27,2026-02-28,Groceries
safeway weekly shopping,250.0,2026-02-28,Groceries
electric company internet,138.1,2026-02-26,Utilities
safeway purchase bakery ref#7340,250.0,2026-02-13,Groceries
payment to subway for delivery,62.93,2026-02-10,Restaurants
whole foods - meat department ref#4889,250.0,2026-02-10,Groceries
payment to costco for meat department,250.0,2026-02-14,Groceries
shell - transit pass ref#7265,30.0,2026-02-21,Transportation
game purchase at concert venue ref#1126,122.86,2026-03-02,Entertainment
payment to verizon for monthly service,50.0,2026-03-01,Utilities
formula at babies r us,53.04,2026-02-01,Baby Items
payment to att for phone service,156.58,2026-02-08,Utilities
walmart purchase onesie,60.08,2026-02-27,Baby Items
publix - weekly shopping,183.85,2026-03-02,Groceries
payment to babies r us for stroller,150.0,2026-02-07,Baby Items
parking garage - gas,39.48,2026-02-23,Transportation
publix grocery,218.5,2026-02-26,Groceries
amc theaters concert tickets,61.95,2026-02-15,Entertainment
starbucks purchase lunch ref#9783,80.0,2026-02-22,Restaurants
payment to amazon for clothing,400.0,2026-02-12,Shopping
albertsons purchase deli ref#1501,77.85,2026-02-08,Groceries
crib at babies r us ref#3104,63.65,2026-02-16,Baby Items
payment to walmart for wipes,116.59,2026-02-05,Baby Items
chipotle purchase lunch,40.07,2026-02-01,Restaurants
atm withdrawal 4940,247.38,2026-02-10,Unknown
payment to playstation for monthly subscription,51.41,2026-02-18,Entertainment
doordash dinner ref#4595,70.32,2026-02-14,Restaurants
walmart weekly shopping,250.0,2026-02-16,Groceries
dinner at starbucks,43.71,2026-02-05,Restaurants
transit pass at bp,22.14,2026-02-17,Transportation
payment to pg&e for phone service,162.14,2026-02-09,Utilities
furniture at nordstrom,120.39,2026-02-21,Shopping
streaming service at spotify,25.78,2026-02-06,Entertainment
payment to costco for weekly shopping,224.05,2026-02-26,Groceries
spectrum - bill payment,98.63,2026-02-25,Utilities
nordstrom - electronics,138.71,2026-02-16,Shopping
payment to trader joes for grocery,154.0,2026-02-13,Groceries
pizza hut lunch,37.65,2026-02-02,Restaurants
amazon purchase wipes ref#8791,125.63,2026-02-22,Baby Items
parking garage purchase fuel,55.12,2026-02-22,Transportation
olive garden breakfast,24.84,2026-02-21,Restaurants
disney plus purchase game purchase,150.0,2026-02-12,Entertainment
furniture at macys,394.79,2026-02-09,Shopping
chevron purchase toll ref#2870,81.63,2026-02-23,Transportation
amazon - online order,229.5,2026-02-20,Shopping
doordash - lunch,52.61,2026-02-18,Restaurants
buybuybaby purchase bottles,53.45,2026-03-02,Baby Items
payment to publix for deli,176.05,2026-02-09,Groceries
amc theaters game purchase,145.53,2026-02-14,Entertainment
payment to albertsons for grocery,85.94,2026-02-13,Groceries
payment to kroger for grocery,128.73,2026-02-27,Groceries
uber - gas,18.66,2026-02-23,Transportation
payment to acme corp 3066,346.18,2026-02-05,Unknown
taxi purchase toll,93.15,2026-02-23,Transportation
bread milk eggs at kroger ref#3830,107.44,2026-02-23,Groceries
venmo payment 6259,152.47,2026-02-04,Unknown
payment to nordstrom for home goods ref#4402,138.78,2026-02-10,Shopping
safeway weekly shopping,232.04,2026-02-10,Groceries
steam - game purchase,93.25,2026-02-23,Entertainment
weekly shopping at albertsons,171.52,2026-02-01,Groceries
olive garden dinner,60.3,2026-02-03,Restaurants
fuel at metro,18.7,2026-02-11,Transportation
payment to mcdonalds for lunch,35.08,2026-02-26,Restaurants
playstation movie tickets ref#5437,73.01,2026-02-17,Entertainment
walmart bakery ref#8563,250.0,2026-02-01,Groceries
payment to bp for ride to,71.52,2026-02-09,Transportation
doordash takeout,29.72,2026-02-11,Restaurants
whole foods weekly shopping ref#7249,59.67,2026-02-16,Groceries
electric company purchase bill payment ref#8978,174.33,2026-03-01,Utilities
safeway - weekly shopping,250.0,2026-02-01,Groceries
amazon - electronics,400.0,2026-02-13,Shopping
produce at albertsons ref#2530,124.38,2026-02-26,Groceries
subway purchase breakfast,42.89,2026-02-04,Restaurants
breakfast at chipotle,25.75,2026-02-05,Restaurants
verizon purchase internet ref#4396,189.8,2026-02-22,Utilities
payment to playstation for streaming service ref#9325,150.0,2026-02-23,Entertainment
publix - bakery,250.0,2026-02-18,Groceries
payment to walgreens for medicine,193.17,2026-02-06,Healthcare
costco produce,89.17,2026-02-08,Groceries
transfer to john doe 6144,64.48,2026-02-04,Unknown
payment to albertsons for bread milk eggs,155.54,2026-02-08,Groceries
dental office purchase prescription pickup,265.81,2026-02-12,Healthcare
att - cable,74.47,2026-02-08,Utilities
shell toll,71.27,2026-02-15,Transportation
hospital - x-ray,113.89,2026-02-19,Healthcare
bakery at walmart,136.19,2026-02-23,Groceries
starbucks dinner ref#4823,43.91,2026-02-18,Restaurants
nordstrom - shoes,110.01,2026-02-26,Shopping
spotify - movie tickets,150.0,2026-03-02,Entertainment
mcdonalds lunch,14.53,2026-02-14,Restaurants
produce at walmart,250.0,2026-02-01,Groceries
movie tickets at steam,45.52,2026-02-03,Entertainment
concert venue movie tickets,89.43,2026-02-07,Entertainment
whole foods - weekly shopping,250.0,2026-02-01,Groceries
payment to shell for parking fee,26.08,2026-02-25,Transportation
payment to uber for parking fee,31.14,2026-02-17,Transportation
ubereats delivery,48.12,2026-02-20,Restaurants
macys - home goods,400.0,2026-02-20,Shopping
olive garden purchase takeout,52.66,2026-02-14,Restaurants
bread milk eggs at trader joes ref#9277,246.4,2026-03-02,Groceries
comcast bill payment,140.09,2026-02-05,Utilities
lyft transit pass ref#1722,68.09,2026-02-20,Transportation
delivery at olive garden ref#9778,27.89,2026-02-16,Restaurants
amazon shoes ref#7397,289.92,2026-02-03,Shopping
parking garage - toll ref#8864,65.22,2026-02-20,Transportation
payment to best buy for online order ref#4687,396.29,2026-02-07,Shopping
transfer to john doe 2236,212.43,2026-02-14,Unknown
payment to mcdonalds for coffee,69.13,2026-02-19,Restaurants
payment to trader joes for weekly shopping ref#6929,67.85,2026-03-02,Groceries
doordash delivery ref#3015,20.1,2026-02-21,Restaurants
payment to dental office for consultation fee,369.66,2026-02-03,Healthcare
payment to concert venue for streaming service,44.57,2026-02-25,Entertainment
payment to best buy for online order,240.34,2026-02-11,Shopping
subway delivery ref#5831,31.18,2026-02-10,Restaurants
home depot - home goods,400.0,2026-02-27,Shopping
target pacifier,67.09,2026-02-06,Baby Items
copay at walgreens,309.69,2026-02-17,Healthcare
venmo payment 8314,40.57,2026-02-27,Unknown
concert tickets at spotify ref#1504,62.14,2026-02-14,Entertainment
macys - shoes,366.99,2026-02-19,Shopping
movie tickets at spotify,60.2,2026-02-25,Entertainment
metro - transit pass,30.02,2026-02-01,Transportation
amc theaters game purchase ref#5099,52.77,2026-02-09,Entertainment
doordash breakfast ref#9587,19.67,2026-02-12,Restaurants
payment to comcast for cable,300.0,2026-03-01,Utilities
playstation - game purchase ref#2251,150.0,2026-02-09,Entertainment
best buy - home goods,322.85,2026-02-05,Shopping
takeout at mcdonalds,80.0,2026-02-01,Restaurants
amc theaters - movie tickets,115.39,2026-02-04,Entertainment
payment to metro for transit pass ref#3878,100.0,2026-02-15,Transportation
amazon purchase electronics,189.02,2026-03-01,Shopping
payment to taxi for fuel ref#8006,42.74,2026-02-04,Transportation
payment to lyft for transit pass,86.84,2026-02-14,Transportation
nike purchase electronics,291.69,2026-02-19,Shopping
ubereats - dinner,65.58,2026-02-27,Restaurants
payment to costco for deli ref#1433,134.13,2026-02-19,Groceries
payment to acme corp 2387,127.39,2026-02-08,Unknown
costco purchase deli,169.67,2026-02-17,Groceries
netflix - movie tickets,121.69,2026-02-11,Entertainment
whole foods produce,87.93,2026-02-13,Groceries
payment to target for formula,119.14,2026-02-11,Baby Items
payment to nike for online order ref#3950,202.38,2026-02-10,Shopping
att - monthly service,82.2,2026-02-24,Utilities
comcast - cable,95.46,2026-02-03,Utilities
pizza hut delivery,64.5,2026-02-02,Restaurants
produce at trader joes ref#3855,180.52,2026-02-20,Groceries
payment to target for baby lotion,145.79,2026-02-01,Baby Items
mcdonalds dinner,23.68,2026-02-17,Restaurants
shell purchase toll,100.0,2026-02-10,Transportation
payment to ubereats for lunch,16.79,2026-02-07,Restaurants
urgent care medicine,220.84,2026-02-01,Healthcare
spectrum cable,300.0,2026-02-20,Utilities
pampers diapers at buybuybaby ref#8132,150.0,2026-02-06,Baby Items
bakery at costco,198.69,2026-02-07,Groceries
spectrum purchase bill payment ref#6243,248.21,2026-02-14,Utilities
payment to disney plus for game purchase,45.47,2026-02-07,Entertainment
chevron purchase toll,96.71,2026-02-17,Transportation
walmart purchase weekly shopping ref#5278,231.9,2026-02-17,Groceries
trader joes grocery,170.23,2026-02-24,Groceries
payment to ubereats for lunch,32.29,2026-02-02,Restaurants
mcdonalds dinner,39.35,2026-02-07,Restaurants
comcast internet,149.21,2026-02-01,Utilities
pizza hut coffee,36.53,2026-02-21,Restaurants
bp parking fee ref#5384,56.88,2026-02-05,Transportation
lyft purchase toll ref#8538,25.77,2026-02-23,Transportation
lunch at starbucks,36.35,2026-02-12,Restaurants
wire transfer 6989,484.41,2026-02-04,Unknown
dinner at starbucks,80.0,2026-02-11,Restaurants
mcdonalds - takeout,70.9,2026-02-16,Restaurants
subway delivery ref#9459,54.49,2026-02-16,Restaurants
payment to safeway for meat department,82.16,2026-02-03,Groceries
amc theaters - movie tickets ref#3464,53.75,2026-02-20,Entertainment
home goods at nike,377.66,2026-02-16,Shopping
playstation movie tickets,132.15,2026-02-14,Entertainment
babies r us purchase baby lotion,150.0,2026-02-03,Baby Items
